yeara,mktcap,nFIRM,comp,nCEO
1996,14964.781,254,,
1997,16283.124,260,,
1998,22839.479,223,,
1999,16828.572,334,,
2000,20579.307,301,,
2001,18936.645,294,,
2002,19637.055,275,,
2003,26653.502,239,,
2004,29633.236,212,,
2005,28571.424,201,,
1991,14477.954,186,,
1992,13371.335,206,8990.0762,44
1993,13644.192,209,3062.8303,342
1994,13259.701,213,6883.6392,103
1995,16559.945,218,6787.4326,185
1996,21716.07,185,6343.8896,245
1997,29919.035,156,5089.3857,379
1998,29754.816,170,10409.987,191
1999,24420.631,248,,
2000,16407.5,354,10741.95,236
2001,16661.494,329,13089.27,123
2002,14589.073,340,4201.4209,497
2003,14556.851,395,9478.8623,201
2004,14582.904,428,,
2005,15832.967,347,,
1996,6437.1763,483,,
1998,9588.1846,442,,
1999,10663.502,470,,
2000,10532.81,485,,
2001,14619.596,359,,
2002,13024.707,369,,
2003,16592,354,,
2004,22240.854,288,,
2005,25364.965,229,,
2005,17692.16,321,,
1991,17774.459,141,,
1992,15608.308,168,,
1993,13846.363,208,,
1994,12229.211,228,,
1995,13826.958,246,,
1996,15578.037,247,,
1997,15346.612,274,,
1998,12749.044,356,,
1999,14031.247,387,,
2000,16597.869,350,,
1991,23560.139,105,,
1992,23208.457,109,,
1993,26906.934,105,,
1994,31556.525,89,,
1995,33484.332,100,,
1996,34973.141,116,,
1997,35369.578,129,,
1998,33390.836,159,,
1999,49888.672,142,,
2000,42631.363,162,,
2003,50830.441,124,,
2004,55980.145,118,,
2005,57177.43,101,,
1991,11925.323,222,5531.6782,59
1992,12521.546,213,,
1993,13022.552,216,12039.846,37
1994,17023.967,172,,
2001,38633.301,162,24364.635,38
2002,35409.223,164,14440.458,94
2003,36457.48,176,12312.543,121
2004,39153.398,167,,
2005,33252.992,168,,
1991,10091.991,249,,
1992,9942.2061,246,,
1993,9978.0635,258,,
1994,9040.9512,288,,
1995,9970.1387,305,,
1996,9991.9688,342,,
1997,10577.186,370,5835.8467,312
1998,11238.023,385,,
2000,22996.621,268,,
2001,22608.51,257,10668.808,176
2002,23092.85,237,8708.3271,205
2003,27426.049,231,,
2004,26522.178,241,,
2005,26557.904,218,,
1992,4310.7803,493,3000.6687,259
1991,14523.955,184,1601.0461,404
1992,20552.887,126,,
1993,24506.357,113,3243.3508,321
1994,26999.541,109,4541.063,214
1995,26952.973,131,5512.8188,242
1996,30805.615,130,6505.4922,238
2004,63283.023,108,,
1991,5808.1323,367,,
1992,5531.7412,407,,
2001,9809.9297,484,11898.386,146
2002,11766.985,400,20003.523,48
