"educv","heightv","BMIv","healthv","consv","extrav","agreev","emov","autov","riskyv"
2,185,18.991964,4,0.36497,0.311473,0.232055,0.496336,0.927354,0.156261
2,168,28.344671,3,0.06098,1.164221,0.235776,-0.42973,-0.132105,0.437847
2,173,22.052191,3,-0.219695,0.737847,-0.267666,0.092256,-0.346231,0.697185
2,168,20.195578,3,-0.60914,0.614413,-0.154639,-0.141648,0.056509,-0.175031
2,164,20.077335,3,-0.886173,0.320163,-0.164435,-0.380149,-0.005116,-0.162622
3,170,23.875433,4,-0.619582,-0.077193,0.085426,-0.178962,0.391598,0.128161
1,180,15.432098,4,-0.34182,-0.361278,-0.174231,0.134924,0.115847,0.183003
2,156,18.902039,4,0.615046,1.163238,-0.248075,-0.448051,-0.361978,0.394781
2,168,24.801588,4,0.327571,-0.200627,0.997016,0.577714,1.478856,-0.122161
1,173,22.386314,3,0.387311,0.612447,-1.813458,-0.875402,-0.857882,0.569667
2,164,21.936348,3,0.345542,-0.238336,-0.287258,-0.188207,-0.132105,0.502696
2,164,19.333731,3,0.480294,0.45327,0.095222,-0.577833,-0.011142,0.477347
2,165,21.671259,4,0.212975,0.187056,-0.648286,-0.516844,-0.361978,0.324269
2,170,22.49135,3,0.058795,1.021441,0.225981,0.20601,0.242836,-3.517758
2,179,22.471209,3,-0.207068,0.064604,-0.529184,-0.579976,-0.374031,-3.163971
3,150,24.444445,3,-0.598697,0.329836,-0.17051,0.023242,-0.463454,0.08709
2,183,25.680075,2,0.101292,-1.316641,0.790552,0.588535,-0.132105,-0.901962
2,180,23.456791,2,0.078951,0.60474,-0.372759,-0.28933,-0.086227,0.329534
2,167,21.513859,3,0.346999,-0.483238,-0.806572,-0.575738,-0.120052,0.387721
2,175,32,2,-1.563092,-0.258173,-0.041612,0.491036,-0.314692,0.365871
2,161,23.533043,4,1.169113,0.59605,0.009722,0.10092,-0.881987,-0.04781
1,176,22.598141,3,0.346999,0.367544,-0.283537,-0.315302,-0.374031,0.227641
2,176,24.212294,3,-0.475116,-1.052392,0.513164,0.185758,-0.640062,0.136009
2,173,25.059307,3,-0.34182,-0.351606,0.087287,-0.581077,-0.265121,0.578423
2,165,19.834711,3,-0.454231,0.330818,-0.006149,-0.177246,-0.120052,-0.246512
3,170,21.107267,4,0.345542,0.044767,-0.269527,-0.016524,-0.153878,0.333367
2,167,20.438166,3,-0.476572,0.329836,-0.283537,-0.451108,-0.120052,0.381546
2,163,21.453573,4,0.901065,0.312455,-0.493721,0.361168,-0.560358,0.427457
1,172,24.675501,3,-0.198082,-0.361278,-0.136908,-0.401764,-0.810596,0.306376
1,175,20.244898,3,0.378325,-1.063539,0.364675,0.653217,0.326233,0.400374
2,163,22.582708,4,-1.307672,-0.920268,0.4441,-0.469524,0.794338,0.330495
2,168,21.612812,4,0.059523,0.614413,0.719628,0.079993,1.224878,0.536694
1,163,23.711845,4,0.346999,1.164221,-0.041612,-0.212828,0.177472,-1.733092
3,175,21.87755,4,-1.608503,-2.171355,-0.049054,0.503865,1.732834,-0.109801
2,165,19.100092,3,-0.208525,0.595067,0.180722,-0.201868,0.661323,0.280934
2,178,19.568235,1,0.078223,-0.238336,-1.040562,-0.718326,-0.615956,-0.066901
2,175,21.224489,3,0.481023,0.330818,0.598665,-0.096855,0.413371,0.374164
1,172,23.661438,4,-0.493087,-0.464875,0.981145,-0.223957,1.169279,-0.081099
2,180,23.148148,3,0.078951,0.330818,-0.425952,-0.114623,-0.314692,0.059177
2,156,20.134779,3,0.615046,1.447815,1.535921,0.306977,1.113681,-1.276064
2,168,29.407597,3,-0.608411,-0.238336,-0.666017,-0.465655,-0.80457,0.147397
2,165,24.977043,2,-0.03346,0.055423,-0.174231,-0.374467,-0.519099,0.030584
2,170,20.761246,2,0.059523,-0.484221,-0.025741,-0.308767,-0.132105,0.305877
2,161,18.903591,2,0.345542,-0.106211,-0.00801,-0.504744,-0.225269,-0.164364
2,165,25.711662,2,0.348455,1.181601,0.216185,0.018205,0.927354,-3.730112
2,165,20.93664,4,-0.331378,0.321146,0.329212,-0.128841,-0.023195,0.066453
2,162,22.10029,3,-0.18764,0.330818,-0.025741,-0.195098,-0.132105,-1.391959
1,172,19.605192,4,0.615046,0.312455,0.426369,-0.457643,0.04217,0.211245
2,178,20.199471,3,0.891351,-0.238336,-0.386769,-0.573773,-0.516766,0.166765
2,165,22.038567,2,-1.011211,-0.370951,-0.441823,-0.443838,0.022683,0.150485
2,174,25.102392,3,-0.478029,-0.501601,0.719628,-0.637647,0.716921,0.221585
2,168,22.675737,3,0.327571,0.879644,-0.857905,-1.641137,-1.259215,-0.118151
1,177,24.89706,3,-0.208525,-0.21899,0.477702,0.093962,0.927354,-2.078844
2,176,22.598141,3,-0.205611,0.046241,0.997016,0.442312,1.224878,0.280934
2,172,20.281233,3,0.22196,0.595067,-0.659943,0.186109,-0.881987,0.090912
2,170,22.49135,3,0.346999,-0.52193,1.258533,0.760654,0.661323,-0.222695
3,170,19.377163,3,-1.544393,0.044276,0.235776,-0.568376,0.066275,0.207387
2,180,19.444445,3,-0.332106,-0.512748,0.356739,0.270669,-0.038941,0.273231
3,160,20.3125,3,0.079679,0.17984,-1.196987,-0.759064,-0.931559,0.173864
2,172,20.281233,4,-1.163934,-0.097521,-1.353413,-0.447471,-0.457428,-0.58963
2,175,22.204082,3,-0.466859,0.177874,-0.275602,-0.372953,0.387905,0.610585
3,164,24.167162,3,-0.865288,-0.494385,0.089147,-0.097909,0.375852,0.436249
2,168,21.967121,4,0.346999,0.349181,0.45811,0.183058,0.661323,-0.391481
1,170,20.069204,3,-0.750692,-0.189971,-0.481007,-1.095163,0.887502,0.062702
2,161,21.218317,4,-0.886173,0.727683,-0.164435,-0.175447,-0.540872,0.120168
2,176,19.369835,3,0.078951,0.046241,-0.545054,-0.71114,-0.429629,-0.445574
1,172,21.295294,3,0.633746,0.036569,-1.038701,-1.053059,-0.990897,0.173864
2,170,22.145329,3,0.058795,0.480814,0.616396,0.410961,0.518587,0.249154
2,158,19.628265,3,-1.707559,-1.062065,0.608461,-0.43695,0.462989,0.159508
2,172,22.309357,3,0.881637,-0.483238,-0.061203,-0.308411,-0.199756,0.201897
2,175,20.571428,3,-0.208525,1.144875,0.267518,0.349382,-0.132105,0.287191
